id,title,origin,contest,year,label,hosts,url,mirror_urls,format,difficulty,difficulty_basis,difficulty_native,primary_tag,tags,free_tags,quality,canonical,constraints,editorial_url,added,verified
ccc-2000-j1,Calendar,ccc,CCC 2000 Junior,2000,J1,dmoj,https://dmoj.ca/problem/ccc00j1,,standard,1,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2000-j2,9966,ccc,CCC 2000 Junior,2000,J2,dmoj,https://dmoj.ca/problem/ccc00j2,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2000-s1,Slot Machines,ccc,CCC 2000 Senior,2000,S1,dmoj,https://dmoj.ca/problem/ccc00s1,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,simulation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2000-s2,Babbling Brooks,ccc,CCC 2000 Senior,2000,S2,dmoj,https://dmoj.ca/problem/ccc00s2,,standard,3,estimated,DMOJ 7p,adhoc.simulation.direct,adhoc.simulation.direct,simulation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2000-s3,Surfing,ccc,CCC 2000 Senior,2000,S3,dmoj,https://dmoj.ca/problem/ccc00s3,,standard,4,estimated,DMOJ 7p,graphs.traversal.bfs,graphs.traversal.bfs,graph-theory|regular-expressions|via-solution-code,,,,,2026-09-19,2026-09-19
ccc-2000-s4,Golf,ccc,CCC 2000 Senior,2000,S4,dmoj,https://dmoj.ca/problem/ccc00s4,,standard,6,estimated,DMOJ 7p,dp.basics.linear,dp.basics.linear,dynamic-programming|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2000-s5,Sheep and Coyotes,ccc,CCC 2000 Senior,2000,S5,dmoj,https://dmoj.ca/problem/ccc00s5,,standard,7,estimated,DMOJ 10p,geometry.primitives.points,geometry.primitives.points,geometry|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2001-j1,Dressing Up,ccc,CCC 2001 Junior,2001,J1,dmoj,https://dmoj.ca/problem/ccc01j1,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2001-j2,Mod Inverse,ccc,CCC 2001 Junior,2001,J2,dmoj,https://dmoj.ca/problem/ccc01j2,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2001-s1,Keeping Score,ccc,CCC 2001 Senior,2001,S1,dmoj,https://dmoj.ca/problem/ccc01s1,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2001-s2,Spirals,ccc,CCC 2001 Senior,2001,S2,dmoj,https://dmoj.ca/problem/ccc01s2,,standard,3,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2001-s3,Strategic Bombing,ccc,CCC 2001 Senior,2001,S3,dmoj,https://dmoj.ca/problem/ccc01s3,,standard,4,estimated,DMOJ 7p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|via-solution-code,,,,,2026-09-19,2026-09-19
ccc-2001-s4,Cookies,ccc,CCC 2001 Senior,2001,S4,dmoj,https://dmoj.ca/problem/ccc01s4,,standard,6,estimated,DMOJ 10p,geometry.primitives.points,geometry.primitives.points,geometry|intermediate-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2001-s5,Post's Correspondence Problem,ccc,CCC 2001 Senior,2001,S5,dmoj,https://dmoj.ca/problem/ccc01s5,,standard,7,estimated,DMOJ 10p,strings.matching.kmp,strings.matching.kmp,recursion|string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2002-j1,0123456789,ccc,CCC 2002 Junior,2002,J1,dmoj,https://dmoj.ca/problem/ccc02j1,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2002-j2,AmeriCanadian,ccc,CCC 2002 Junior,2002,J2,dmoj,https://dmoj.ca/problem/ccc02j2,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2002-s1,The Students' Council Breakfast,ccc,CCC 2002 Senior,2002,S1,dmoj,https://dmoj.ca/problem/ccc02s1,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2002-s2,Fraction Action,ccc,CCC 2002 Senior,2002,S2,dmoj,https://dmoj.ca/problem/ccc02s2,,standard,3,estimated,DMOJ 5p,number_theory.divisibility.gcd,number_theory.divisibility.gcd,simple-math|via-solution-code,,,,,2026-09-19,2026-09-19
ccc-2002-s3,Blindfold,ccc,CCC 2002 Senior,2002,S3,dmoj,https://dmoj.ca/problem/ccc02s3,,standard,4,estimated,DMOJ 15p,adhoc.simulation.direct,adhoc.simulation.direct,simulation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2002-s4,Bridge Crossing,ccc,CCC 2002 Senior,2002,S4,dmoj,https://dmoj.ca/problem/ccc02s4,,standard,6,estimated,DMOJ 10p,dp.basics.linear,dp.basics.linear,dynamic-programming|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2002-s5,Follow the Bouncing Ball,ccc,CCC 2002 Senior,2002,S5,dmoj,https://dmoj.ca/problem/ccc02s5,,standard,7,estimated,DMOJ 10p,adhoc.simulation.direct,adhoc.simulation.direct,simulation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2003-j1,Trident,ccc,CCC 2003 Junior,2003,J1,dmoj,https://dmoj.ca/problem/ccc03j1,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2003-j2,Picture Perfect,ccc,CCC 2003 Junior,2003,J2,dmoj,https://dmoj.ca/problem/ccc03j2,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2003-s1,Snakes and Ladders,ccc,CCC 2003 Senior,2003,S1,dmoj,https://dmoj.ca/problem/ccc03s1,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2003-s2,Poetry,ccc,CCC 2003 Senior,2003,S2,dmoj,https://dmoj.ca/problem/ccc03s2,,standard,3,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2003-s3,Floor Plan,ccc,CCC 2003 Senior,2003,S3,dmoj,https://dmoj.ca/problem/ccc03s3,,standard,4,estimated,DMOJ 7p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2003-s4,Substrings,ccc,CCC 2003 Senior,2003,S4,dmoj,https://dmoj.ca/problem/ccc03s4,,standard,6,estimated,DMOJ 15p,strings.matching.kmp,strings.matching.kmp,string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2003-s5,Trucking Troubles,ccc,CCC 2003 Senior,2003,S5,dmoj,https://dmoj.ca/problem/ccc03s5,,standard,7,estimated,DMOJ 10p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2004-j1,Squares,ccc,CCC 2004 Junior,2004,J1,dmoj,https://dmoj.ca/problem/ccc04j1,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2004-j2,Terms of Office,ccc,CCC 2004 Junior,2004,J2,dmoj,https://dmoj.ca/problem/ccc04j2,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2004-j3,Smile with Similes,ccc,CCC 2004 Junior,2004,J3,dmoj,https://dmoj.ca/problem/ccc04j3,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2004-j4,Simple Encryption,ccc,CCC 2004 Junior,2004,J4,dmoj,https://dmoj.ca/problem/ccc04j4,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2004-j5,Fractals,ccc,CCC 2004 Junior,2004,J5,dmoj,https://dmoj.ca/problem/ccc04j5,,standard,2,estimated,DMOJ 10p,search.exhaustive.backtracking,search.exhaustive.backtracking,implementation|intermediate-math|recursion|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2004-s1,Fix,ccc,CCC 2004 Senior,2004,S1,dmoj,https://dmoj.ca/problem/ccc04s1,,standard,2,estimated,DMOJ 5p,strings.matching.kmp,strings.matching.kmp,string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2004-s2,TopYodeller,ccc,CCC 2004 Senior,2004,S2,dmoj,https://dmoj.ca/problem/ccc04s2,,standard,3,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2004-s3,Spreadsheet,ccc,CCC 2004 Senior,2004,S3,dmoj,https://dmoj.ca/problem/ccc04s3,,standard,4,estimated,DMOJ 10p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|via-solution-code,,,,,2026-09-19,2026-09-19
ccc-2004-s4,Space Turtle,ccc,CCC 2004 Senior,2004,S4,dmoj,https://dmoj.ca/problem/ccc04s4,,standard,6,estimated,DMOJ 10p,geometry.primitives.points,geometry.primitives.points,geometry|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2004-s5,Super Plumber,ccc,CCC 2004 Senior,2004,S5,dmoj,https://dmoj.ca/problem/ccc04s5,,standard,7,estimated,DMOJ 10p,dp.basics.linear,dp.basics.linear,dynamic-programming|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2005-j1,The Cell Sell,ccc,CCC 2005 Junior,2005,J1,dmoj,https://dmoj.ca/problem/ccc05j1,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2005-j2,RSA Numbers,ccc,CCC 2005 Junior,2005,J2,dmoj,https://dmoj.ca/problem/ccc05j2,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2005-j3,Returning Home,ccc,CCC 2005 Junior,2005,J3,dmoj,https://dmoj.ca/problem/ccc05j3,,standard,1,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2005-j4,Cross Spiral,ccc,CCC 2005 Junior,2005,J4,dmoj,https://dmoj.ca/problem/ccc05j4,,standard,2,estimated,DMOJ 7p,adhoc.simulation.direct,adhoc.simulation.direct,simulation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2005-j5,Bananas,ccc,CCC 2005 Junior,2005,J5,dmoj,https://dmoj.ca/problem/ccc05j5,,standard,2,estimated,DMOJ 10p,strings.matching.kmp,strings.matching.kmp,recursion|string-algorithms|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2005-s1,Snow Calls,ccc,CCC 2005 Senior,2005,S1,dmoj,https://dmoj.ca/problem/ccc05s1,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2005-s2,Mouse Move,ccc,CCC 2005 Senior,2005,S2,dmoj,https://dmoj.ca/problem/ccc05s2,,standard,3,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2005-s3,Quantum Operations,ccc,CCC 2005 Senior,2005,S3,dmoj,https://dmoj.ca/problem/ccc05s3,,standard,4,estimated,DMOJ 10p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2005-s4,Pyramid Message Scheme,ccc,CCC 2005 Senior,2005,S4,dmoj,https://dmoj.ca/problem/ccc05s4,,standard,6,estimated,DMOJ 10p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2005-s5,Pinball Ranking,ccc,CCC 2005 Senior,2005,S5,dmoj,https://dmoj.ca/problem/ccc05s5,,standard,7,estimated,DMOJ 12p,data_structures.range_query.segment_tree,data_structures.range_query.segment_tree,data-structures|divide-and-conquer|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2006-j1,Canadian Calorie Counting,ccc,CCC 2006 Junior,2006,J1,dmoj,https://dmoj.ca/problem/ccc06j1,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2006-j2,Roll the Dice,ccc,CCC 2006 Junior,2006,J2,dmoj,https://dmoj.ca/problem/ccc06j2,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2006-j3,Cell-Phone Messaging,ccc,CCC 2006 Junior,2006,J3,dmoj,https://dmoj.ca/problem/ccc06j3,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2006-j4,It's tough being a teen!,ccc,CCC 2006 Junior,2006,J4,dmoj,https://dmoj.ca/problem/ccc06j4,,standard,2,estimated,DMOJ 7p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2006-j5,CCC Othello,ccc,CCC 2006 Junior,2006,J5,dmoj,https://dmoj.ca/problem/ccc06j5,,standard,2,estimated,DMOJ 10p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2006-s1,Maternity,ccc,CCC 2006 Senior,2006,S1,dmoj,https://dmoj.ca/problem/ccc06s1,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2006-s2,Attack of the CipherTexts,ccc,CCC 2006 Senior,2006,S2,dmoj,https://dmoj.ca/problem/ccc06s2,,standard,3,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2006-s3,Tin Can Telephone,ccc,CCC 2006 Senior,2006,S3,dmoj,https://dmoj.ca/problem/ccc06s3,,standard,4,estimated,DMOJ 12p,geometry.primitives.points,geometry.primitives.points,geometry|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2006-s4,Groups,ccc,CCC 2006 Senior,2006,S4,dmoj,https://dmoj.ca/problem/ccc06s4,,standard,6,estimated,DMOJ 10p,math.algebra.modular_arithmetic,math.algebra.modular_arithmetic,intermediate-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2006-s5,Origin of Life,ccc,CCC 2006 Senior,2006,S5,dmoj,https://dmoj.ca/problem/ccc06s5,,standard,7,estimated,DMOJ 15p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|implementation|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2007-j1,Who is in the Middle?,ccc,CCC 2007 Junior,2007,J1,dmoj,https://dmoj.ca/problem/ccc07j1,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2007-j2,I Speak TXTMSG,ccc,CCC 2007 Junior,2007,J2,dmoj,https://dmoj.ca/problem/ccc07j2,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2007-j3,Deal or No Deal Calculator,ccc,CCC 2007 Junior,2007,J3,dmoj,https://dmoj.ca/problem/ccc07j3,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2007-j4,Anagram Checker,ccc,CCC 2007 Junior,2007,J4,dmoj,https://dmoj.ca/problem/ccc07j4,,standard,2,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2007-j5,Keep on Truckin',ccc,CCC 2007 Junior,2007,J5,dmoj,https://dmoj.ca/problem/ccc07j5,,standard,2,estimated,DMOJ 7p,dp.basics.linear,dp.basics.linear,dynamic-programming|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2007-s1,Federal Voting Age,ccc,CCC 2007 Senior,2007,S1,dmoj,https://dmoj.ca/problem/ccc07s1,,standard,2,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2007-s2,Boxes,ccc,CCC 2007 Senior,2007,S2,dmoj,https://dmoj.ca/problem/ccc07s2,,standard,3,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2007-s3,Friends,ccc,CCC 2007 Senior,2007,S3,dmoj,https://dmoj.ca/problem/ccc07s3,,standard,4,estimated,DMOJ 7p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2007-s4,Waterpark,ccc,CCC 2007 Senior,2007,S4,dmoj,https://dmoj.ca/problem/ccc07s4,,standard,6,estimated,DMOJ 7p,graphs.traversal.dfs,graphs.traversal.dfs,dynamic-programming|graph-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2007-s5,Bowling for Numbers,ccc,CCC 2007 Senior,2007,S5,dmoj,https://dmoj.ca/problem/ccc07s5,,standard,7,estimated,DMOJ 10p,dp.basics.linear,dp.basics.linear,dynamic-programming|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2008-j1,Body Mass Index,ccc,CCC 2008 Junior,2008,J1,dmoj,https://dmoj.ca/problem/ccc08j1,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2008-j2,Do the Shuffle,ccc,CCC 2008 Junior,2008,J2,dmoj,https://dmoj.ca/problem/ccc08j2,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2008-j3,GPS Text Entry,ccc,CCC 2008 Junior,2008,J3,dmoj,https://dmoj.ca/problem/ccc08j3,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2008-j4,From Prefix to Postfix,ccc,CCC 2008 Junior,2008,J4,dmoj,https://dmoj.ca/problem/ccc08j4,,standard,2,estimated,DMOJ 7p,math.algebra.modular_arithmetic,math.algebra.modular_arithmetic,intermediate-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2008-s1,It's Cold Here!,ccc,CCC 2008 Senior,2008,S1,dmoj,https://dmoj.ca/problem/ccc08s1,,standard,2,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
ccc-2008-s2,Pennies in the Ring,ccc,CCC 2008 Senior,2008,S2,dmoj,https://dmoj.ca/problem/ccc08s2,,standard,3,estimated,DMOJ 5p,geometry.primitives.points,geometry.primitives.points,geometry|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2008-s3,Maze,ccc,CCC 2008 Senior,2008,S3,dmoj,https://dmoj.ca/problem/ccc08s3,,standard,4,estimated,DMOJ 7p,graphs.traversal.dfs,graphs.traversal.dfs,graph-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2008-s4,Twenty-four,ccc,CCC 2008 Senior,2008,S4,dmoj,https://dmoj.ca/problem/ccc08s4,,standard,6,estimated,DMOJ 10p,search.exhaustive.backtracking,search.exhaustive.backtracking,recursion|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2008-s5,Nukit,ccc,CCC 2008 Senior,2008,S5,dmoj,https://dmoj.ca/problem/ccc08s5,,standard,7,estimated,DMOJ 10p,dp.basics.linear,dp.basics.linear,dynamic-programming|game-theory|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2009-j1,ISBN,ccc,CCC 2009 Junior,2009,J1,dmoj,https://dmoj.ca/problem/ccc09j1,,standard,1,estimated,DMOJ 3p,adhoc.simulation.direct,adhoc.simulation.direct,simple-math|via-dmoj-category,,,,,2026-09-19,2026-09-19
ccc-2009-j2,Old Fishin' Hole,ccc,CCC 2009 Junior,2009,J2,dmoj,https://dmoj.ca/problem/ccc09j2,,standard,1,estimated,DMOJ 5p,adhoc.simulation.direct,adhoc.simulation.direct,implementation|via-dmoj-types,,,,,2026-09-19,2026-09-19
